angry,dates,haha,like,love,messages,sad,wow,url
1,2017-10-07T15:51:32+0000,1,457,1,"Fallece paracaidista dominicano tras accidente durante entrenamiento
https://buff.ly/2fTOrZK",484,78,https://buff.ly/2fTOrZK
0,2017-10-07T15:42:27+0000,2,33,0,Falleció en la madrugada jurista Domingo Porfirio Rojas Nina https://buff.ly/2y2J8zu,14,9,https://buff.ly/2y2J8zu
0,2017-10-07T15:35:00+0000,0,74,1,Taiwán observa los contactos de China Popular con la República Dominicana http://ht.ly/jpuA30fIal5,0,3,http://ht.ly/jpuA30fIal5
0,2017-10-07T15:00:17+0000,0,5,1,¡Hoy es sábado de #EstilosRD! ¿Ya tienes la tuya?  https://buff.ly/2xYWIWO,0,0,https://buff.ly/2xYWIWO
0,2017-10-07T14:45:01+0000,0,35,0,"Turquía, tras mercado de acero República Dominicana y el Caribe http://ht.ly/LAoE30fIaQd",0,0,http://ht.ly/LAoE30fIaQd
1,2017-10-07T14:25:02+0000,227,702,58,Ayuntamiento de Santiago colocará los nombres de quienes no pagan impuestos de la ciudad en una valla http://ht.ly/H0sl30fIbpU,0,62,http://ht.ly/H0sl30fIbpU
0,2017-10-07T13:50:01+0000,108,1056,102,"Guardó comida para el fin del mundo, ahora dona todo a Puerto Rico http://ht.ly/Xi6d30fI88S",2,21,http://ht.ly/Xi6d30fI88S
12,2017-10-07T12:31:40+0000,84,234,1,El mismo médico que certificó el cáncer también dictaminó supuesta muerte de “Quirinito” http://ht.ly/MI7a30fI7R4,1,32,http://ht.ly/MI7a30fI7R4
1,2017-10-07T12:00:00+0000,0,106,0,Nagua recibirá una descarga de música urbana y buena salsa #FestivalPresidente2017 https://buff.ly/2y0p034,0,1,https://buff.ly/2y0p034
0,2017-10-07T11:45:00+0000,0,8,0,DE BUENA TINTA: El PLD con la lámpara de Diógenes #DLOpinion https://buff.ly/2xYlQ01,0,0,https://buff.ly/2xYlQ01
0,2017-10-07T11:30:00+0000,0,44,3,A degustar langosta en todas sus deliciosas y versátiles versiones... https://buff.ly/2y04RYz,0,0,https://buff.ly/2y04RYz
0,2017-10-07T11:15:00+0000,0,10,0,EDITORIAL: Mal argumento #DLOpinion https://buff.ly/2y0avKq,0,0,https://buff.ly/2y0avKq
0,2017-10-07T11:00:00+0000,1,63,5,Junior Express se detiene en RD https://buff.ly/2xoJT3z,0,0,https://buff.ly/2xoJT3z
0,2017-10-07T10:45:00+0000,0,4,0,"AM: De Quirino, Quirinito y Quirinazos... #DLOpinion https://buff.ly/2y0amqm",0,0,https://buff.ly/2y0amqm
0,2017-10-07T10:30:00+0000,0,19,0,Pablo Milanés: la banda sonora de más de una generación https://buff.ly/2xolmvu,0,0,https://buff.ly/2xolmvu
0,2017-10-07T10:15:00+0000,0,4,0,NO RESPONDO: El Presupuesto y el Congreso #DLOpinion https://buff.ly/2hVLAU7,0,0,https://buff.ly/2hVLAU7
0,2017-10-07T05:00:00+0000,0,16,0,#LaAne?cdotaDeportiva con Don Bienvo; el ataque racial a Minnie Min?oso https://buff.ly/2xnMzyy,0,0,https://buff.ly/2xnMzyy
0,2017-10-07T04:00:00+0000,0,48,1,La pelota se emplea a fondo para buscar dinero del torneo https://buff.ly/2xnpAIJ,0,1,https://buff.ly/2xnpAIJ
4,2017-10-07T03:30:00+0000,0,105,0,Un nuevo problema agobia a venezolanos: la falta de efectivo https://buff.ly/2xnLPtg,16,5,https://buff.ly/2xnLPtg
0,2017-10-07T03:00:00+0000,0,40,1,Penélope Cruz: ‘ser madre ha supuesto un cambio muy profundo en mi’ https://buff.ly/2xo5zx6,0,0,https://buff.ly/2xo5zx6
0,2017-10-07T02:30:00+0000,0,18,0,"Asesinan a un periodista en el centro de México, el undécimo del año https://buff.ly/2hSapk1",5,1,https://buff.ly/2hSapk1
0,2017-10-07T02:00:00+0000,0,15,1,Academia Dominicana de la Historia realizará el seminario Azúcar y Migración https://buff.ly/2xo2MDZ,0,0,https://buff.ly/2xo2MDZ
0,2017-10-07T01:40:00+0000,8,377,14,Peloteros dominicanos hablan sobre el juego de vitilla https://buff.ly/2y1tDHR,0,3,https://buff.ly/2y1tDHR
0,2017-10-07T01:20:00+0000,0,12,0,Adompretur extiende hasta el 20 de octubre plazo para recibir trabajos del premio Epifanio Lantigua https://buff.ly/2fQjupf,0,0,https://buff.ly/2fQjupf
134,2017-10-07T01:19:02+0000,32,358,4,Suspenden al padre Jhonny de la iglesia Católica por denuncias de violaciones sexuales en Constanza https://buff.ly/2xo1CNu,10,113,https://buff.ly/2xo1CNu
1,2017-10-07T01:00:00+0000,18,90,3,"Quizá no sea sabio legalizar la marihuana, indica un estudio https://buff.ly/2xZm3jD",0,2,https://buff.ly/2xZm3jD
0,2017-10-07T00:40:00+0000,0,31,0,Video: Argentina de Messi al borde de un precipicio de 2.850 metros de altura https://buff.ly/2xXGOMx,0,2,https://buff.ly/2xXGOMx
0,2017-10-07T00:20:00+0000,0,6,0,"#FUNDEU: Estreno, mejor que premier https://buff.ly/2xYH4e1",0,0,https://buff.ly/2xYH4e1
0,2017-10-07T00:00:00+0000,0,86,0,Lluvias de Nate dejan al menos 22 muertos y 10 desaparecidos en Centroamérica https://buff.ly/2fYA89Z,26,17,https://buff.ly/2fYA89Z
0,2017-10-06T23:40:00+0000,0,16,0,Exigen acelerar el proceso de naturalización en Italia https://buff.ly/2fY8nhx,0,0,https://buff.ly/2fY8nhx
