"","contenidos","fechas","titulos","ur"
"1","SANTO DOMINGO.- La Corte de Apelación de la Segunda Sala Penal de la Suprema Corte de Justicia fijó para el 14 de noviembre el conocimiento de la apelación de la variación de la medida de coerción al exministro de Obras Públicas, Víctor Díaz Rúa, y el empresario Ángel Rondón, implicados en el sobornos pagados por la constructora Odebrecht para obtener obras del Estado. Luego que a los imputados el juez de Instrucción Especial de la Suprema Corte de Justicia,  Francisco Ortega,  le variara la medida de coerción de prisión a libertad provisional, la Procuraduría Especializada de Persecución a la Corrupción Administrativa interpuso un recurso de apelación a fin de que le revoquen la libertad. El magistrado Ortega impuso una garantía económica de RD$70 millones a Ángel Rondón y RD$50 millones a Díaz Rúa mediante empresa aseguradora y presentación periódica e impedimento de salida. El Ministerio Público precisó que la variación de las medidas de coerción a esos imputados carece de fundamento, porque no han cambiado los presupuestos que en junio pasado le fueron presentados al mismo juez Ortega Polanco para imponerlas.",2017-10-09 20:09:00,"Corte fija para el 14 de noviembre conocimiento de apelación libertad provisional otorgada a Rondón y Díaz Rúa","http://eldia.com.do/corte-fija-para-el-14-de-noviembre-conocimiento-de-apelacion-libertad-provisional-otorgada-a-rondon-y-diaz-rua/"
"2","SANTO DOMINGO.- En el marco del  Mes del Ahorro, la Asociación Popular de Ahorros y Préstamos (APAP) presentó su campaña insignia de incentivo al ahorro “el Cero de Oro, es lo Bueno de Ahorrar”, que sortea 10 apartamentos y premios en efectivo entre clientes y socios ahorrantes que hayan  incrementado sus ahorros al menos en quinientos pesos cada vez. La vicepresidente de Negocios de APAP, Nurys Marte, explicó que “este año, en adición a premiar por el incremento de los ahorros, la entidad reconocerá con boletos adicionales, por el uso de los canales electrónicos, y por poseer otros productos, como Tarjetas y Préstamos.” La ejecutiva de APAP informó que “La campaña presenta a unos renovados “mineros”, trabajadores incansables e íconos del ahorro, que premian a los ahorrantes que depositan su confianza en APAP”. Durante 49 años continuos APAP ha celebrado el Cero de Oro como la mayor campaña de incentivo al ahorro familiar del sistema financiero dominicano. “La campaña Inicia este 9 de octubre, y constará de  cinco sorteos regulares mensuales  en cada uno de los cuales se premiará con 2 apartamentos, 2 premios en efectivo de RD$100,000, 2 de RD$25,000 para  el Cerito de Oro (menores de 14 años) y también 2 premios de RD$25,000 entre todos los certificados financieros que se abran durante la promoción”, destacó Marte. Los socios ahorrantes y clientes tienen la oportunidad de participar hasta el 31 de enero del próximo año.",2017-10-09 19:48:00,"APAP presenta su campaña el “Cero de Oro” que premiará a clientes","http://eldia.com.do/apap-presenta-su-campana-el-cero-de-oro-que-premiara-a-clientes/"
"3","Washington.- El permiso que el Gobierno de EE.UU. dio a barcos extranjeros para llevar suministros a Puerto Rico expiró el domingo a las 23.59 horas (03.59 GMT del lunes) y, por el momento, no hay planes para renovar esa autorización, informó hoy a Efe un portavoz del Departamento de Seguridad Nacional. Para tomar su decisión, el Ejecutivo consideró que es “innecesario” extender ese permiso para apoyar la recuperación de Puerto Rico, devastado tras el paso del huracán María. Después de recibir numerosas críticas por su lenta respuesta al huracán en Puerto Rico, Trump decidió el 28 de septiembre cancelar la aplicación de una ley conocida como “Jones Act”, que determina que solo los barcos estadounidenses con tripulación de EE.UU. pueden transportar productos entre los puertos marítimos del país. La decisión de Trump entró en vigor de manera inmediata, estuvo en vigor durante diez días y permitió que todos los barcos, sin importar su bandera, abastecieran a Puerto Rico con cualquier producto, incluido combustible, agua y alimentos, que escaseaban en la isla. Aunque el permiso expiró este domingo, los barcos tienen hasta el 18 de octubre para completar sus entregas a Puerto Rico, indicó a Efe un portavoz del Departamento de Seguridad Nacional. De momento, hasta 14 barcos han podido llegar a Puerto Rico, estado asociado de EE.UU., gracias al permiso de Trump, aunque el Departamento de Seguridad Nacional desconoce exactamente cuántos buques extranjeros han dado suministros porque la notificación de su entrada a la isla es voluntaria. La “Jones Act” fue aprobada en 1920, justo después de la Primera Guerra Mundial, y con la idea de proteger a la industria naviera de EE.UU., percibida como muy débil en comparación, por ejemplo, con los submarinos alemanes que hundieron cientos de barcos estadounidenses durante el conflicto.",2017-10-09 19:28:00,"Expira el permiso para que barcos extranjeros lleven suministros a Puerto Rico","http://eldia.com.do/expira-el-permiso-para-que-barcos-extranjeros-lleven-suministros-a-puerto-rico/"
"4","SANTO DOMINGO. – Un grupo de ocho mujeres venezolanas que eran explotadas sexualmente en bares del suroeste de República Dominicana fueron rescatadas por las autoridades, informó el lunes la Procuraduría General. La institución detalló en un comunicado que los agentes desarticularon una red de trata de personas que operaba en al menos dos bares de la localidad de Nizao, 50 kilómetros al oeste de Santo Domingo. Los dos bares donde se encontraban las venezolanas fueron clausurados y los agentes detuvieron a cinco personas, incluidas dos mujeres, quienes serán presentadas ante un tribunal para que formalice su arresto. La Procuraduría explicó que, de forma presunta, las venezolanas fueron traídas a República Dominicana con fines de explotarlas sexualmente. En mayo de 2016, la Procuraduría cerró un bar de la ciudad de Santiago, 150 kilómetros al norte de la capital, donde unas 40 venezolanas y colombianas eran explotadas sexualmente. Debido a una laguna legal, las leyes dominicanas no prohíben que una persona mayor de edad se prostituya, pero sí tipifican como crimen la explotación sexual. Las ocho mujeres venezolanas se encontraban el lunes bajo custodia de la unidad de derechos humanos de la Procuraduría. Desde finales de 2015, República Dominicana ha registrado una oleada de migrante provenientes de Venezuela en busca de trabajo.",2017-10-09 19:16:00,"Rescatan a 8 venezolanas que eran prostituidas en República Dominicana","http://eldia.com.do/rescatan-a-8-venezolanas-que-eran-prostituidas-en-republica-dominicana/"
"5","BOSTON. – Justin Verlander superó a Chris Sale en un duelo de aces relevistas, y los Astros de Houston avanzaron a su primera Serie de Campeonato en la Liga Americana al venir de atrás para vencer el lunes 5-4 a los Medias Rojas de Boston en el cuarto juego de su Serie Divisional. Houston iniciará el viernes la Serie de Campeonato de la Liga Americana, ya sea en Cleveland o en casa ante los Yanquis de Nueva York. Los Indios tienen ventaja de 2-1 sobre los Yanquis de cara al cuarto juego de su Serie Divisional, que se realizará la noche del lunes. Con Verlander y Sale – los abridores del primer juego – apareciendo como relevistas, los Astros prevalecieron para quedarse con la serie 3-1. Alex Bregman bateó jonrón ante Sale para empatar el juego en la octava y Josh Reddick pegó sencillo productor ante Craig Kimbrel en ese mismo inning para darle ventaja a los Astros. La última vez que los Astros llegaron a una Serie de Campeonato fue en 2005, como equipo de la Liga Nacional, y avanzaron a la Serie Mundial, en donde fueron barridos por los Medias Blancas de Chicago. Por los Astros, el cubano Yulieski Gurriel de 5-3 con una anotada. Los puertorriqueños Carlos Beltrán de 1-1 con una producida; Carlos Correa de 4-1. Los venezolanos Marwin González de 3-0 con una anotada; José Altuve de 4-0. Por los Medias Rojas, los dominicanos Rafael Devers de 3-2 con una producida y una anotada; Hanley Ramírez de 4-2. El puertorriqueño Christian Vázquez de 3-0.",2017-10-09 17:52:00,"Astros elimina a Medias Rojas y avanza a Serie de Campeonato","http://eldia.com.do/astros-elimina-a-medias-rojas-y-avanza-a-serie-de-campeonato/"
"6","Santo Domingo.- La Dirección Nacional de Control de Drogas (DNCD) con el apoyo del Cuerpo Especializado de Seguridad Aeroportuaria (CESAC) y bajo la coordinación del Ministerio Público, decomisaron 13 paquetes de cocaína, en el Aeropuerto Internacional de Punta Cana, provincia La Altagracia. Los agentes de la DNCD acompañados de un fiscal adjunto y miembros de otras agencias de seguridad e inteligencia destacados en la terminal, detuvieron a un extranjero que intentó llevar a Europa en su equipaje los paquetes con un peso de 13.19 kilogramos de cocaína. “La agencia antidrogas y el Ministerio Publico investigan a otras personas que estarían involucradas en el presente caso”,  señala la agencia en un comunicado de prensa. El detenido esta en poder de las autoridades judiciales de esa jurisdicción para proceder a su sometimiento a la justicia por violación a la ley 50-88 sobre drogas y sustancias controladas.  ",2017-10-09 17:22:00,"DNCD apresa a un extranjero con 13 paquetes de cocaína en aeropuerto Punta Cana","http://eldia.com.do/dncd-apresa-a-un-extranjero-con-13-paquetes-de-cocaina-en-aeropuerto-punta-cana/"
"7","Santo Domingo.- El juez de la Oficina de Atención Permanente del Distrito Nacional, José Alejandro Vargas, dictó hoy tres meses de prisión preventiva como medida de coerción en contra del presidente de la Federación de Estudiantes Dominicanos (FED), Yimi Zapata, Jorge Luis Tavárez Santos y Guelmis Rivera, acusados de estafar a 17 estudiantes. Mientras que a Luis Armando Cruz, Luis Báez y José Manuel Marte se les impuso el pago de una garantía económica de 300 mil pesos mediante contrato, impedimento de salida y presentación periódica el primer lunes de cada mes ante el procurador que tiene a cargo la investigación del caso. Los acusados deberán cumplir la medida en la cárcel de Najayo-Hombres. El abogado de Guelmis Rivera, Harold Echavarría, dijo que apelará la decisión dentro del plazo que establece la ley. El magistrado Vargas, quien rechazó declarar el caso complejo, aclaró que los jóvenes están acusados de falsificación porque no se pudo comprobar que hubo estafa en el proceso. Además, el juez  dictó una orden de protección a favor de los denunciantes o victimas como garantía de su integridad física. Los implicados en la supuesta red de falsificación encabezada por el presidente de la FED utilizaban la Universidad Autónoma de Santo Domingo (UASD) para reclutar a las víctimas con la promesa de participar en una conferencia de las Naciones Unidas (ONU) en Estados Unidos, y les entregaban una carta de invitación falsa.     ",2017-10-09 16:14:00,"Dictan tres meses de prisión preventiva a Yimi Zapata y otros dos acusados de falsificación","https://goo.gl/oHqtKR"
"8","Nueva York.- El precio del petróleo intermedio de Texas (WTI) subió hoy un 0,59 % y cerró en 49,58 dólares el barril, impulsado por versiones que apuntan hacia una posible extensión del pacto actual para recortar la producción mundial de crudo. Al final de las operaciones a viva voz en la Bolsa Mercantil de Nueva York (Nymex), los contratos futuros del WTI para entrega en noviembre, los de más próximo vencimiento, subieron 0,29 dólares respecto al cierre anterior. Los analistas estaban analizando comentarios hechos el pasado fin de semana por el secretario general de la Organización de Países Exportadores de Petróleo (OPEP), Mohamed Barkindo, sobre la posibilidad que se mantenga un acuerdo alcanzado en noviembre pasado para recortar la producción de crudo. Ese pacto, que fue respaldado también por otras naciones no integradas a ese cártel energético, como Rusia, estará vigente hasta abril del año próximo, aunque en la próxima reunión de la OPEP de noviembre existen posibilidades de que sea extendido de nuevo. Por su parte, los contratos de gasolina para entrega en noviembre cerraron sin cambios, en 1,56 dólares el galón, mientras que los de gas natural para entrega en el mismo mes bajaron 3 centavos hasta 2,83 dólares por cada mil pies cúbicos.",2017-10-09 15:55:00,"El petróleo de Texas sube un 0,59 % y cierra en 49,58 dólares el barril","https://goo.gl/emP6wd"
"9","El orgasmo femenino es uno de los asuntos que más errores de concepto provoca en la sociedad. Las malinterpretaciones son numerosas por la complejidad del tema. Un estudio tiró por tierra distintas creencias al respecto y sus conclusiones fueron esclarecedoras. Según salió publicado en la revista científica Neurociencia y Psicología Afectiva, lo que más determina el orgasmo es el buen humor, la creatividad y ser una persona emocionalmente cálida. El atractivo se define en base a esos conceptos en lugar al aspecto físico, es decir si la persona sabe hacer que la mujer se ría a carcajadas en un espacio de confianza y afectividad, los momentos íntimos llegarán a niveles muy superiores. “El patrón que encontramos en los resultados sugieren que los orgasmos de las mujeres dependen más de los atributos que representan la fidelidad, la calidez emocional o el ser una persona atenta, que los indicadores de buenos genes o masculinidad”, desprendió el estudio. “Las parejas que brindaron altos índices de orgasmos a sus compañeras fueron evaluadas como personas con mejor humor, creativas, fieles y con mejor olor que las parejas con bajo índice de orgasmos. También se esforzaron más en que ellas lleguen al clímax“. El estudio fue realizado en 103 mujeres solteras con edades comprendidas entre los 20 y los 69 años de edad. Completaron una encuesta de 71 minutos y se dejó fuera a las chicas con parejas estables porque “se sentirían obligadas a evaluar positivamente a sus compañeros”. El estudio solamente se realizó entre parejas heterosexuales. Tomado de Yahoo! Vida y Estilo",2017-10-09 15:37:00,"¿Qué tipo de hombre brindan los mejores orgasmos a las mujeres?","https://goo.gl/SbAiPp"
"10"," Por: El Día [email protected] 09 octubre, 2017 3:32 pm  Por Juan Bosch Che Guevara visitó algunas veces mi casa de Costa Rica. Esto sucedía en los primeros meses de 1954, cuando nadie sospechaba que el joven médico trotamundos iba a tener celebridad internacional. Mi hijo León, que empezaba entonces a pintar retratos y que vivía conmigo en el pequeño y dulce país centroamericano, había hecho amistad con algunos exiliados argentinos antiperonistas y a través de esa amistad llegaban a verme, a tomar taza de café y a cambiar opiniones sobre los problemas de una América que en esos años era un muestrario de dictadores. Fue uno de esos exiliados –el doctor Rojo, sino recuerdo mal– quien llegó un día acompañado de un joven silencioso, serio, que de vez en cuando sacaba del bolsillo de la camisa un inhalador y se lo aplicaba en la nariz mientras apretaba la diminuta vejiga del instrumento. Ese joven era el doctor Ernesto Guevara. Ya para entonces sus amigos le llamaban Che, apelativo nacional de los argentinos. Ernesto Che Guevara era asmático –y de ahí el uso del inhalador–, pero su cuerpo estaba constituido como si no lo fuera. No tenía el pecho hundido ni era bajito ni delgado. No llegaba a ser alto; no era grueso; no era musculoso. Sin embargo, producía sensaciones de firmeza física. Tenía unos rasgos que lo hacían inconfundible: la frente, los arcos superficiales, las cejas, los ojos, la nariz y la boca. Esos rasgos hacían evocar inmediatamente a Beethoven, y recuerdo haberle dicho a mi hijo León estas palabras: “Ese muchacho tiene rostro beethoviano”. Su mirada era a la vez fija e intensa, pero con más fijeza que intensidad, y muy clara, casi iluminada. Oía cuidadosamente y solo de tarde en tarde hacía alguna pregunta, pero siempre era una pregunta que iba directamente al fondo del problema que estaba siendo tratado. La imagen del Che Guevara, “El guerrillero heroico”, es una de las más conocidas en todo el mundo. Según me dijo él mismo, Guevara había llevado a Costa Rica desde Panamá; era médico especializado en alergias y recorría América con la ilusión de conocerla toda. De Costa Rica pensaba ir a Guatemala y me pidió algunos datos sobre el país. En la Argentina se había opuesto a Perón y no quería volver a su tierra mientras gobernara el general.  En el año 1958, cuando ya el nombre de Ernesto Guevara era conocido en todo el mundo y yo me hallaba en Venezuela, Rómulo Betancourt me preguntó, por lo menos en tres ocasiones distintas, quién era el Che. Algunos de los venezolanos que habían estado en el exilio con Betancourt en Costa Rica le habían dicho que Guevara había estado también por esos días en Costa Rica, pero Betancourt no lo recordaba. Betancourt iba a visitarme a menudo – como yo a él– y en algunas de esas visitas él y el Che coincidieron; es más, en varias oportunidades Guevara se dirigió a él, siempre con un respeto visible y siempre con esas preguntas a la vez simples y agudas, muy directas, que eran tan características del joven médico argentino. Yo le explicaba a Betancourt quién era y cómo era ese renombrado Che Guevara; se lo describía físicamente, le recordaba que en cierta ocasión Guevara le había preguntado esto y lo otro. “Era aquel joven que iba con un inhalador y que fumaba tabacos, no cigarrillos ni pipa; uno que se sentaba siempre en el mismo sitio, entre el comedor y la sala”, le decía. Pero no había manera de que Betancourt recordara a Ernesto Guevara. Yo notaba –y no se necesitaba ser un buen observador para darse cuenta de ello– el respeto que Guevara tenía por Betancourt y por mí, la atención con que oía cualquiera cosa que decíamos; y notaba también que el joven argentino trataba de buscar algo, tal vez una orientación. Debía haber alguna cosa que era para él más importante, y entendía que lo que deseaba era dedicarse a actividades científicas. Muy parcamente, me lo dejó entrever cuando le pregunté a qué pensaba dedicarse cuando terminara de recorrer las tierras apasionantes de América. La impresión que tenía yo entonces era que el Che Guevara a sus veinticinco o veintiséis años –pues no parecía tener más– buscaba su destino y no sabía dónde estaba ese destino. Francamente, no esperé verlo actuando en política, y menos aún en Cuba, y mucho menos todavía en acciones guerrilleras. Me pareció que estaba temperamentalmente dotado para la investigación científica; era controlado, aunque sin duda nada frío, y llegaba rápidamente al fondo de los problemas que le llamaban la atención. Nunca supuse que podría convertirse alguna vez en un líder comunista. Unos años más tarde, en Caracas, me visitó un joven norteamericano Miradas sobre nuestra América  que quería saber de mi boca si el Che era comunista cuando estaba en Costa Rica. “No”, le dije. “En esos tiempos no sentía la menor inclinación al comunismo no creo que tuviera idea de qué era eso”. Y yo no andaba equivocado. Pocos días después Guevara declaró en La Habana que él –dijo propiamente, “nosotros”– había conocido al marxismo en la Sierra Maestra. Y yo soy muy tonto o Guevara era hombre que decía la verdad en todas las circunstancias. Che Guevara se hizo comunista –por lo menos, marxista– en la montañas cubanas y se abrazó a esa doctrina con una fe tan dura que murió por ella. Pero quien observe cuidadosamente la trayectoria del legendario personaje que ha caído en las selvas bolivianas, tiene que distinguir un matiz peculiar en el comunismo del Che Guevara: era comunista porque era intensamente antiyanqui. Ahora bien, ¿por qué se había convertido en antiyanqui hasta la raíz de su alma, él, que cuando andaba por América buscaba una orientación de otro tipo? La respuesta a esa pregunta hay que buscarla en Guatemala. En alguna parte –creo que en una revista francesa– leí que le médico guerrillero había sido consejero de Arbenz, pero eso es una simpleza insigne. Al llegar a Guatemala, Guevara no tenía ningún bagaje político o de otra índole que pudiera llevarlo a la categoría de consejero del entonces presidente Jacobo Arbenz. Pero los informes que tengo de personas que estuvieron en Guatemala en esos días indican que los sucesos que tuvieron lugar en aquel país a raíz de la llegada del joven médico argentino –a mediados de 1954– produjeron una impresión profunda y perturbadora a su ánimo. Yo no podría ahora precisar en qué mes salió Guevara de Costa Rica hacia Guatemala, pero debe haber sido entre marzo y mayo de 1954. Ya para esos meses se esperaba el zarpazo de Washington sobre el gobierno de Arbenz. Día por día se veía crecer la propaganda que presentaba a Arbenz como un agente comunista. Hasta Dorothy Thompson, una columnista norteamericana que pasaba por liberal hasta límites de radicalismo –esposa divorciada o viuda del celebrado autor de Babitt y Calle Mayor– se lanzó, con todo peso, a acusar al gobernante guatemalteco de ser un tenebroso agente ruso. Recuerdo que entre las noticias que corrían por Centro América había una concedida para abusar de la ignorancia de la gente: que Arbenz había recibido de Rusia un cargamento de bombas atómicas del tamaño de pelotas de tenis –todavía hoy no pueden fabricarse de ese tamaño– que iban a ser usadas dentro de los Estados Unidos. El submarino ruso y las granadas chinas “halladas” por los yanquis en Santo Domingo a principios de mayo de 1965, eran mentiras menos escandalosas que las de aquellas mini-bombas “A” del coronel Arbenz. Guevara llegó a Guatemala y a poco fue derrocado el gobiernos de Arbenz. Guevara, y todo el mundo en las dos Américas, sabían que había sido derrocado “por orden superior”. Esa intervención – que no fue abierta, como la de Santo Domingo– dejó en el alma del médico argentino una huella que era como una herida siempre viva. Desde que Che Guevara salió del anonimato tuve la impresión –y la sigo teniendo– de que su lucha estuvo dedicada más que nada a combatir a los Estados Unidos, y que la raíz de esa actitud está en los hechos de Guatemala. Hay algo que los norteamericanos no han aprendido en siglo y medio de relaciones con nuestros países, y desde luego no lo aprenderán jamás, porque si este mundo ha visto un pueblo duro para adquirir conocimientos humanos –no científicos–, ese pueblo es el de los Estados Unidos. Allí pululan los técnicos en relaciones públicas, pero no hay entre ellos, dos que se hayan dado cuenta de que la América Latina es, un término de sensibilidad, una unidad viva. Un tirano de Venezuela ofende, con su sola existencia, a los jóvenes de Chile y El Salvador tanto como a las juventudes venezolanas; una intervención norteamericana en Guatemala le duele tanto a un joven médico argentino como puede dolerle al guatemalteco más orgulloso. Guevara salió hacia Guatemala y a poco yo salí para Bolivia, precisamente para esa tierra de altas pampas y de selvas nutridas donde él iba a caer trece o catorce años después de haber estado visitando mi casa de exiliado en Costa Rica. No volví a verlo más, pero tan pronto oí su nombre a principios de 1957, cuando ya él estaba en la Sierra Maestra, recordé a aquel joven médico argentino. Lo recordaba con toda nitidez. Recordaba no solo su presencia física sino hasta su voz. ¿Por qué? No podría decirlo. Tal vez me impresionado aquel tono de fijeza, y de cierta ansiedad que veía en sus ojos, en su tipo peculiar de mirada; una ansiedad como de quien necesita ser y no halla la manera de realizarse; la de alguien que está seguro de que tiene un destino y no sabe como cumplirlo. La televisión española transmitió unas escenas relativas a la muerte de Guevara. Se veía un villorrio en la selva boliviana, un villorrio que era la estampa de la soledad, la miseria y la ignorancia; se veía un general cubierto de oropeles, cintajos y medallas, y se veía el cadáver del Che Guevara tirado en una mesa. Ahí estaba resumido el drama de América: La miseria, la opresión, no preso, no herido, sino aniquilado a tiros. Yo evoqué unas palabras de Gregorio Luperón que dicen más o menos así: “El que pretende acabar con la revolución matando a los revolucionarios es como el que piensa que puede apagar la luz del sol sacándose los ojos”.",2017-10-09 15:32:00,"“Mis recuerdos de Che Guevara”, artículo escrito por Juan Bosch","https://goo.gl/k6ew1S"
