"","contenidos","fechas","titulos","url"
"1","SANTO DOMINGO. Falleció la mañana de este sábado el paracaidista Luis Luna Kunhart luego de sufrir una caída durante un aterrizaje mientras entrenaba el viernes por la tarde. Luna Kunhart fue capitán de la Policía Nacional, miembro del cuerpo de Fuerzas Especiales.",2017-10-07 11:05:00,"Fallece paracaidista dominicano tras accidente durante ensayo","https://buff.ly/2fTOrZK"
"2","SANTO DOMINGO. El destacado abogado Domingo Porfirio Rojas Nina falleció la madrugada de este sábado afectado por problemas respiratorios y cardíacos. Rojas Nina había sido ingresado a la unidad de cuidados intensivos del Centro Médico Dominicano la noche del lunes. Su hijo Domingo Rojas Pereyra confirmó la lamentable noticia e informó que las honras fúnebres en la funeraria Blandino a partir de la 5:00 pm. El abogado era asistido por los médicos de dicho centro de salud y al pendiente de sus tres hijos: Domingo José, Evelyn y Jean Carlos, sus nietos y otros familiares y allegados.",2017-10-07 11:31:00,"Falleció en la madrugada jurista Domingo Porfirio Rojas Nina","https://buff.ly/2y2J8zu"
"3","TAIWÁN. El gobierno y el pueblo taiwanés están atentos a los acercamientos que en los últimos meses ha tenido la República Popular China con la República Dominicana y otros países de la región. La situación se registra en momentos en que China busca incrementar sus intereses en el Caribe, con su propuesta para la reconstrucción de Haití y sus intenciones de aumentar las relaciones comerciales con los dominicanos. Como parte de esa iniciativa, empresas chinas anunciaron que invertirán en la República Dominicana US$350 millones en un proyecto hidráulico multifuncional, en el río Yuna, y US$200 millones para la construcción de 10 mil viviendas a bajo costo, en una superficie entre los 50 a 60 metros cuadrados. Ante esos aprestos, Chang Tien-Chin, viceministro del Consejo para Asuntos de China Continental, aseguró que China Popular, con su ventaja económica, está presionando a muchos países del mundo, sean aliados o no de Taiwán, “eso es lo que están haciendo“. Sostuvo que al margen de ello, los taiwaneses seguirán firmes, fortaleciendo la cooperación con los aliados. Manifestó que China ha prometido un alto volumen de inversiones y que los taiwaneses se mantienen observando en qué porcentaje se irán cumpliendo. José María Liu, viceministro de Relaciones Exteriores, consideró que los chinos no podrán satisfacer las necesidades de todos los países en vía de desarrollo con los cuales tienen relaciones. No obstante, afirmó que Taiwán siempre cumple sus promesas de colaboración con sus países aliados. “Taiwán quiere tener sus relaciones diplomáticas con todos sus países aliados”, aseveró. También sobre el tema, Jenjey Chen, editor general de la Agencia Central de Noticias, destacó que los taiwaneses conocen bien el propósito de los acercamientos y su objetivo final que es hacer romper las relaciones diplomáticas. “Así que seguimos atentamente estos temas de importancia de todo el país, el gobierno y el pueblo”. Actualmente Taiwán tiene relaciones diplomáticas con 20 países, 11 están en Latinoamérica y el Caribe, y China con 175 naciones. Con los dominicanos, las relaciones son comerciales y de inversiones, pero no diplomáticas. A pesar de la República Dominicana tener relaciones diplomáticas con Taiwán, en el 72º período de sesiones de la Asamblea General de las Naciones Unidas (ONU), no le ofreció apoyo para lograr una participación más activa en el organismo, del cual dejó ser miembro en octubre de 1971, tras el reingreso de China. En dicha sesión celebrada recientemente, Haití respaldó a Taiwán, lo que habría hecho tambalear la iniciativa de reconstrucción de los chinos en la que pretendían invertir unos US$30 mil millones. 30,000 Millones de dólares contemplaba invertir China Popular  en la reconstrucción de Haití, cuyo proyecto se tambalea.  350 Millones de dólares invertirán los chinos en la República Dominicana en un proyecto hidráulico multifuncional, en el río Yuna.",2017-10-07 12:00:00,"Taiwán observa los contactos de China Popular con la República Dominicana","http://ht.ly/jpuA30fIal5"
"4","NULL",2017-10-07 12:00:00,"Justin Timberlake, una estrella de energía renovable","https://buff.ly/2xYWIWO"
"5","SANTO DOMINGO. Una delegación comercial de Turquía se encuentra en la República Dominicana con el objetivo de invertir y realizar nuevas cooperaciones en el país, así como conquistar el mercado de la siderurgia en RD. “Creemos firmemente que nuestra misión comercial establecerá un sólido terrero para que los representantes de la industria siderúrgica de la República Dominicana, Centroamérica y el Caribe se reúnan, se conozcan, comprendan sus necesidades mutuas y propongan soluciones a la medidas de sus necesidades”, expresó Ahmet Kamil Erciyas, vicepresidente del consejo de administración de la Unión de exportadores de Acero de Turquía. Según los datos ofrecidos por Kamil Erciyas, Turquía ocupa el sexto lugar en las importaciones totales de acero a República Dominicana, de 868,000 toneladas en 2016, las exportaciones turcas de acero al país fue de 20,000 toneladas con un aumento de 44%. Turquía exporta a 200 países una gama de productos de acero que van desde corrugado a laminados planos, de tubos de aluminio a tubos de acero y accesorios. Agregó que el volumen de importación de Turquía a Centroamérica y la región del Caribe en el año 2016 fue alrededor de 9 millones de toneladas, y la participación en las importaciones de la región fue cerca del 5 por ciento.  JCM",2017-10-07 12:00:00,"Turquía, tras mercado de acero República Dominicana y el Caribe","http://ht.ly/LAoE30fIaQd"
"6","SANTIAGO. El Ayuntamiento de Santiago colocó una valla publicitaria en la intersección que forman las avenidas Salvador Estrella Sadhalá y Juan Pablo Duarte, de esta ciudad, en la que advierte a los empresarios que publicarán sus nombres en ese espacio si no pagan los arbitrios municipales. El aviso indica: “En los próximos días serán publicados en diferentes puntos los nombres de las empresas y empresarios que se niegan a pagar los impuestos a la ciudad de Santiago”. Mediante un documento enviado por la dirección de prensa, a inicio de esta semana las autoridades municipales hicieron un llamado para que los propietarios de compañías se pusieran al día con el pago que les corresponde por concepto de gravámenes a favor de la ciudad. El escrito refiere que muchos empresarios y comerciantes están violando las ordenanzas municipales que establecen cumplir con el pago de arbitrios a favor de la ciudad, como la 2719-05, sobre publicidad exterior, que grava a empresas que colocan letreros en sus negocios y están obligados a pagar.",2017-10-07 09:49:00,"Ayuntamiento de Santiago colocará los nombres de quienes no pagan impuestos de la ciudad en una valla","http://ht.ly/H0sl30fIbpU"
"7","MEDFORD, Nueva Jersey. Un hombre de Nueva Jersey que pasó décadas guardando provisiones para “el fin del mundo” va a donar todos los alimentos que almacenó a los damnificados del huracán María en Puerto Rico. Joseph Badame perdió a su esposa y estaba a punto de perder su casa en Medford cuando conoció a una pareja que estaba recaudando dinero para familias puertorriqueñas afectadas por María. Badame, de 74 años, dio una donación de 100 dólares, y luego invitó a la pareja a la habitación donde tenía sus alimentos almacenados y les dijo que se llevaran todo. “No puedo decir con palabras la cantidad de alimentos que allí había”, dijo Victoria Martínez-Barber, de 30 años, al Washington Post. “Había suficiente como para dar de comer a un pueblo”. Badame había almacenado 80 barriles de alimentos y en cada uno de estos recipientes había alimentos como para proveer a 84 personas por cuatro meses. Él dijo que los frijoles secos, arroz, harina, azúcar y otros alimentos hubieran terminado desperdiciados si no los hubiera donado. “He perdido todo. Mi esposa, mi casa, todo”, dijo al NJ.com. “Lo último que iba a perder eran los alimentos”. Badame y su esposa Phyliss comenzaron a prepararse para lo peor desde la década de 1970. Ambos equiparon su sótano con varias cocinas y baños, un refugio antibombas y libros de supervivencia. Él calculó que ambos invirtieron cerca de un millón de dólares en el proyecto. Sus preparativos se truncaron en el 2005, cuando Phyliss tuvo un derrame cerebral que la dejó paralizada. Badame renunció a su trabajo, sacó un préstamo de medio millón de dólares poniendo a su casa de colateral y se dedicó a cuidar a su esposa. Cuando su esposa murió en el 2013, él estaba en bacarrota. El banco embargó su propiedad, y Badame conoció a Martínez-Barber y su esposo Anthony Barber el mes pasado en la venta de bienes. Badame dijo que conocer a la pareja le dio un nuevo sentido a su vida. “Phyliss y yo preparamos todo esto para un grupo de personas, y resulta que va a ayudar a otro grupo de personas”, puntualizó. “Es maravilloso”.",2017-10-07 12:00:00,"Guardó comida para el fin del mundo, ahora dona todo a Puerto Rico","http://ht.ly/Xi6d30fI88S"
"8","SANTO DOMINGO. El médico legista Orlando Herrera Robles, quien certificó la muerte de Pedro Alejandro Castillo Paniagua, “Quirinito”, es el mismo galeno que validó que el condenado a 20 años de prisión padecía un cáncer terminal en la base de la lengua mientras estaba en la cárcel. De acuerdo con el expediente mostrado por la suspendida jueza de Ejecución de la Pena de San Francisco, Aleyda Jiménez Acosta, durante una rueda de prensa, el certificado médico legal de fecha 18-04-2017, que consta en el auto que ordena variar el régimen de cumplimiento de la condena de “Quirinito”, fue expedido por dicho profesional del Instituto Nacional de Ciencias Forenses (Inacif). El galeno de la provincia Duarte, exequátur 716-10, actuando en requerimiento del procurador de la Corte de apelación de dicha demarcación, Felipe Restituyo Santos, luego de haber examinado al privado de libertad el 18 de abril del 2017, homologó el certificado médico expedido el 31 de marzo de este año por el oncólogo César Núñez Roja, execuátur 116-2000, en el cual se plantea la gravedad de la enfermedad y la necesidad de tratamiento de quimioterapia. Otro de los certificados presentados por el Ministerio Público responsable del Centro de Corrección y Rehabilitación Vista del Valle, de San Francisco de Macorís, señala que dentro del seguimiento dado a Pedro Castillo han podido confirmar que “debido al carcinoma epidermoide bien diferenciado infiltrante y ulcerado de base de lengua, etapa clínica IIIB, de una neoplasia localmente avanzada, grave y terminal, ha sufrido una estrepitosa y alarmante pérdida de peso de más de 50 libras ya que se le imposibilita ingerir alimentos sólidos y desde el 21 de abril de 2017 está en una dieta líquida”. El documento dice, asimismo, que se recomienda con urgencia un seguimiento estricto, cambio de modalidad del régimen de cumplimiento de la pena por prisión domiciliaria, a los fines de tratar de mejorar la evolución clínica, además de tratamiento, aplicación de quimioterapia de manera intensiva con el correspondiente régimen intensivo de medicamentos para así “retardar muerte por insuficiencia respiratoria”. La Procuraduría General de la República, al informar que tiene evidencias suficientes que demuestran que Castillo Paniagua no está muerto, también anunció la suspensión del doctor Herrera Robles, a quien dijo no descarta someter a la justicia una vez concluyan las investigaciones. Por este caso también ha sido suspendido de sus funciones el juez de Ejecución de San Cristóbal, Willy Núñez Mejía, quien en el auto de traslado del condenado por el asesinato del español Adolfo Justo Cervantes Arellano (Waikiki), de CCR de Najayo a Vista del Valle, registró el certificado médico hecho a nombre de la madre de “Quirinito” como si fuera del reo. Advertencias Tanto el procurador General de la República, Jean Alain Rodríguez, como el presidente de la Suprema Corte de Justicia, Mariano Germán Mejía, han afirmado que las autoridades del sistema de justicia que han colaborado para que el recluso no cumpliera la pena aplicada por los tribunales, serán sancionados y puestos a disposición de la justicia. “Si una irregularidad aparece, el que la haya cometido que prepare su pescuezo, que se lo prepare, que se lo prepare”, enfatizó Germán Mejía, al decir que investiga el caso. Mientras que Rodríguez afirmó que “si durante la continuación de la investigación se determina que servidores públicos o personal del sector privado tienen comprometida su responsabilidad penal, serán sometidos a la acción de la justicia, sin importar de quién se trate”. La esposa de Castillo Paniagua dijo que murió el 5 de julio, como certificó el legista, pero que no le va a decir al Ministerio Público dónde está o qué hizo con el cadáver. En tanto que el padre del condenado, Rafael Castillo Ramírez, aseguró a los investigadores que su hijo no ha muerto  El Ministerio Público entrevistó ayer a dos comunicadores de San Francisco de Macorís, que presuntamente recibieron amenazas de muerte luego de presentar en su programa “Crónicas” un reportaje sobre el caso “Quirinito”. Kirsy Mena y su esposo, Washington Espino, productores del programa de investigación, que se transmite en un canal de televisión de San Francisco de Macorís fueron entrevistados por el procurador adjunto Bolívar Sánchez, como parte de las investigaciones que se realizan para determinar dónde está Pedro Castillo Paniagua. Mena aseguró que luego del reportaje y el comunicado que emitió la Procuraduría afirmando que “Quirinito” no estaba muerto, su esposo recibió una llamada en su celular donde lo amenazaban de muerte.  10  Septiembre  2008  Asesinato del supuesto narcotraficante Adolfo Cervantes Arellano, “Walkiki”, quien era investigado por el asesinato del agente de la Dirección Nacional de Control de Drogas, Guillermo Tejada Krawinkel en marzo de ese año.  14  enero 2009  Fueron apresados Pedro Alejandro Castillo Paniagua y  Jovanny Antonio Padilla Santiago, y/o Margaro Morel Otaño  y/o Rumaldo Fernández por el asesinato del español. Días después el Juzgado de Atención Permanente de San Cristóbal les dictó tres meses de prisión preventiva. 13 marzo 2009  La jueza de la Instrucción de San Cristóbal, Regina Carvajal Vizcaíno, le varió la prisión a Castillo Paniagua por una fianza de RD$3 millones. 19  marzo 2009  “Quirinito”, quien en ese momento tenía el apodo de “Raffy” fue apresado por el asesinato, secuestro y homicidio de Víctor Mella Terrero, ocurrido el 12 de diciembre del 2007.  Ese mismo dí,a la Oficina de Atención Permanente del Distrito Nacional le dictó tres meses de prisión. El 30 marzo 2009, a Corte de Apelación ratificó la prisión preventiva.  04 junio 2009  La Corte de apelación le varió la prisión por garantía económica. Familiares de Mella Terrero retiraron la querella. 16 junio 2009  El Procurador General anunció que dispuso seguridad especial al procurador adjunto Bolívar Sánchez y el coronel Alejandro Dipré Sierra, porque recibieron amenazas de muerte de parte de “Quirinito”. El imputado se desligó de la acusación  y pidió reunirse con el Procurador General.  16 junio 2009  El Ministerio Público dijo que están desaparecidos los testigos del asesinato de Waikiki, Mario Piñeyro Florentino y Polanco Bautista, los cuales habían confesado que ayudaron a los imputados a ubicar al español. 23 junio 2009  El testigo Polanco Bautista fue presentado ante la jueza que conocía un anticipo de pruebas en el caso.   29 agosto 2009  El caso “Quirinito” fue enviado a juicio de fondo por la jueza de instrucción de San Cristóbal, Berenice Aquino. 1ro diciembre 2009  Inició audiencia de juicio de fondo en el Tribunal colegiado de San Cristóbal. 12 enero 2010  El Tribunal Colegiado dictó prisión preventiva a Pedro Castillo, variando la presentación periódica que tenía por el caso. 17 enero 2010  El juez de la Oficina de Atención Permanente del Distrito Nacional, José Alejandro Vargas, acogió un habeas corpus de “Quirinito”, y ordenó su puesta en libertad. 4  febrero 2010  Fue reapresado luego de que la corte declaró inadmisible un recurso en contra del habeas corpus por considerar que la decisión es nula, porque el juez actuó fuera de su jurisdicción. 13 abril 2010  El tribunal Colegiado condenó a Pedro Castillo Paniagua a 30 años de prisión. 20 de junio 2011  La Corte de Apelación de San Cristóbal anuló la condena, y ordenó la celebración de un nuevo juicio, porque el tribunal de primera instancia no valoró correctamente las pruebas. 10 Octubre 2013  Fue condenado a 20 años de prisión por el Tribunal de San Cristóbal. 23 julio 2014  La Corte de Apelación ratifica la condena de 20 años. 05 mayo 2015  La Segunda Sala Penal de la SCJ rechaza el recurso de casación contra la sentencia, adquiriendo autoridad de la cosa irrevocablemente juzgada. 29 agosto 2016  El abogado Dawerkys Medrano Martínez solicita traslado del condenado. 29 septiembre 2016  El juez de Ejecución de la Pena de San Cristóbal ordena su traslado de la cárcel Najayo a Vista del Valle en San Francisco. 21 abril 2017  El abogado Dawerkys Medrano Martínez solicita variar cumplimiento de la pena. 26 mayo 2017  La jueza de Ejecución de San Francisco varía la reclusión por prisión domiciliaria por enfermedad terminal. 5 julio 2017  Médico legista certificó que Pedro Castillo Paniagua murió.",2017-10-07 12:00:00,"El mismo médico que certificó el cáncer también dictaminó supuesta muerte de “Quirinito”","http://ht.ly/MI7a30fI7R4"
"9","SANTO DOMINGO. Nagua recibirá esta noche una descarga de música urbana y salsa de primer nivel, cuando llegue la sexta parada de la ruta de conciertos de calentamiento rumbo al Festival Presidente 2017. Este evento, reconocido como uno de los más esperados del año, y que se llevará a cabo los días 3, 4 y 5 de noviembre, arriba a su 20 aniversario y, para celebrarlo, sus organizadores han decidido contagiar a las principales ciudades del país con una serie de conciertos con los artistas más populares en todos los géneros de moda. En esta ocasión, los muchachos de Revolución Salsera son los encargados de contagiar a los nagüeros con su salsa actual. Mientras la música urbana estará representada por dos de los exponentes más pegados: El Alfa y Shadow Blow. La cita es hoy sábado, a partir de las 6 de la tarde, en la avenida Independencia esquina calle Colón, en el área conocida popularmente como La Playita. Revolución Salsera es un grupo musical formado por los exintegrantes de la orquesta de salsa Chiquito Team Band, sus principales miembros son Alberto María, Kelvin Saviñón y Lugo Santana, quienes decidieron formar tienda aparte en 2015. Su primer tema contó con los arreglos de Víctor Wail y se titula “La última noche”. Entre sus principales éxitos resaltan “A falta de ti”, “Número equivocado” y “Quién fue”, entre otros. La música urbana dirá presente en este evento en Nagua, a ritmo de Shadow Blow y El Alfa, dos intérpretes con estilos diferentes. Enmanuel Herrera Batista, conocido como El Alfa, obtuvo popularidad gracias a exitosos temas a ritmo de dembow, como “Coche Bomba”, “Muévete Jevi” y “Tarzán”, entre otros. Ha llevado su música a grandes escenarios, entre ellos el Madison Square Garden, invitado por la famosa emisora La Mega NYC. Se ha presentado en Europa y gran parte de Estados Unidos. José Ariel Fernández Soto, también conocido como Shadow Blow, comenzó su carrera musical en 1992, estudiando piano en el Conservatorio Nacional de Música de Santo Domingo. En 2010, su carrera despegó después de lanzar la canción “Tu Eres La Que Tá”. Desde entonces, ha colaborado con artistas del género urbano, como Poeta Callejero, Vakeró, Nipo, Lápiz Conciente, entre otros. En 2016 ganó el Premio Soberano como Artista Revelación del Año. Esta es una de las ciudades más hermosas de RD y disfrutar de música bailable y variada. La ruta de conciertos de calentamiento rumbo al Festival Presidente 2017, continúa el sábado 14 de octubre en la ciudad de Higüey. ¡No te pierdas ni un solo concierto! Ave. Independencia esq. C/ Colón (La Playita). 6:00 p.m. Obtienes tus boletas tras la compra de dos  cervezas.  Con la frase “Entra si quieres y sal si puedes” es como se conoce a Nagua. Aquí, lugares que hacen especial la ciudad  Cabo Francés Viejo El monumento natural Cabo Francés Viejo es una de las áreas protegidas más importantes de República Dominicana, está caracterizado especialmente por el azul intenso de sus aguas. Declarado monumento natural en el año 2009. Es recomendable para escalar, posee playas, arrecifes y acantilados, entre otras bellezas. Las costas de Nagua  Nagua está bañada por un hermoso mar. Debido a ese privilegio, los fines de semana, sus playas son muy visitadas por dominicanos y extranjeros. Entre las principales playas que bordean esta ciudad se encuentran: “Playa Los Gringos”, Playa La Posita y Playa El Broke,  excelentes para deportes acuáticos y días de esparcimiento. Monumento a María Trinidad Sánchez  En el centro del municipio cabecera de la provincia María Trinidad Sánchez está el monumento a esta mujer, clave en la Independencia Nacional. Activista de la independencia dominicana. La primera víctima del crimen político en la historia republicana. Se considera clave del liderazgo femenino de la época. Laguna Dudú  Esta Laguna de color azul turquesa y agua bien fría, tiene forma de cráter y posee la particularidad de poder tener tres tipos de actividades, balneario, deporte acuático y espeleología. Está a 1/2 hora de Nagua, se encuentra específicamente en Cabrera, tiene un restaurante y la entrada cuesta RD$100. Ideal para la práctica de buceo. Nagua es la ciudad capital de la provincia María Trinidad Sánchez. Es conocida por su peculiar ubicación geográfica: justo al mismo nivel del mar. Es una de las demarcaciones territoriales más jóvenes de República Dominicana, creada en 1983. Además, forma parte de la zona más lluviosa del país. La economía de la ciudad descansa principalmente en la producción agrícola. Es una ciudad con una buena ubicación en términos comerciales y turísticos, a sólo 5 a 10 minutos de sus playas según la velocidad, a una hora y media de SD. Su principal medio de transporte es el motoconcho. También cuentan con rutas de carros y minibuses.",2017-10-07 12:00:00,"Nagua recibirá una descarga de música urbana y buena salsa","https://buff.ly/2y0p034"
"10","Los constitucionalistas que consultará el PLD para decidir entre primarias abiertas o cerradas, inquietan e intrigan. Inquieta a los partidos y a los políticos, que no saben con qué lanzamiento pueden salir los morados, si por el centro, afuera o pegado. La maniobra por el momento es de Danilo, pero más adelante podría ser asumida por el conjunto. Un dirigente recordó, por si se había olvidado, el espíritu de cuerpo que los congrega. Lo más interesante, sin embargo, es la intriga de quienes podrían ser contratados, y que conocen su ciencia, pero no sus posibilidades. Lo primero es que sería trabajo, aunque alguien sugirió que no cobraran. Un error que debe evitarse. Toda labor profesional debe pagarse, pues la generosidad podría llevar a concesiones. Conviene que sean técnicos a secas. Lo segundo es que sería una oportunidad para lucir galas teóricas y acreditarse como probos e independientes, que es perfil al uso. El país sabrá entonces si tiene lo que creía no tenía: hombres y mujeres por encima de toda sospecha. No obstante, queda lo principal. Que suelten prenda, y los inquietos, intrigados y curiosos se den por satisfechos.",NA,"El PLD con la lámpara de Diógenes","https://buff.ly/2xYlQ01"
