"","contenidos","fechas","titulos","url"
"1","Nueva York.-El Carnegie Hall, un lugar para grandes artistas, se estremeció con el merengue y la bachata que puso de manifiesto el intérprete Héctor Acosta (El Torito), que logra consolidar su carrera con esta majestuosa presentación en ese lugar reservado para los grandes artistas. El Torito desde que inició levantó le efervescencia al público que los pies se le meneaban solo por salir a bailar. La presentación del artista de Bonao, en Carnegie Hall, se suma a una de las mejores en su carrera “su mejor noche en un escenario”.  El Torito actuó la noche del domingo en la sala principal de uno de los teatros más importantes del mundo, tanto para los músicos clásicos como populares- que se llenó por completo, poniendo en alto la dominicanidad. Acosta enarboló la bandera tricolor en señal de su dominicanidad y su meta fue darle soporte al merengue y la bachata, y lo logró. Los merengues con los que se proyectó en Los Toros Band, así como los que lo definieron como artista independiente formaron parte del concierto. El Torito con este logro en Carnegie Hall demuestra que es el merenguero y bachatero por excelencia y lo que viene demostrando en cada una de sus presentaciones a nivel internacional. En el memorable show del Carnegie, el público presente y hasta los empleados del teatro, no pudieron resistir la contagiosa música dominicana y convirtieron el majestuoso Stern Auditorium Perelman Stage, en una gran pista de baile durante la gala de la bachata y el merengue. “Muchísimas gracias, bendiciones a cada uno. Que mis merengues y bachatas como siempre sea del agrado de la gente”, expresó el artista. Un público totalmente a sus pies, una tremenda orquesta, y un artista dominicano lleno de emociones hicieron un concierto acoplado y una banda de músicos sin desperdicios.",2017-10-09,"El Torito engrandeció el merengue y la bachata en Carnegie Hall de Nueva York","http://ow.ly/oaKb30fLgDJ"
"2","Nueva York.-El Carnegie Hall, un lugar para grandes artistas, se estremeció con el merengue y la bachata que puso de manifiesto el intérprete Héctor Acosta (El Torito), que logra consolidar su carrera con esta majestuosa presentación en ese lugar reservado para los grandes artistas. El Torito desde que inició levantó le efervescencia al público que los pies se le meneaban solo por salir a bailar. La presentación del artista de Bonao, en Carnegie Hall, se suma a una de las mejores en su carrera “su mejor noche en un escenario”.  El Torito actuó la noche del domingo en la sala principal de uno de los teatros más importantes del mundo, tanto para los músicos clásicos como populares- que se llenó por completo, poniendo en alto la dominicanidad. Acosta enarboló la bandera tricolor en señal de su dominicanidad y su meta fue darle soporte al merengue y la bachata, y lo logró. Los merengues con los que se proyectó en Los Toros Band, así como los que lo definieron como artista independiente formaron parte del concierto. El Torito con este logro en Carnegie Hall demuestra que es el merenguero y bachatero por excelencia y lo que viene demostrando en cada una de sus presentaciones a nivel internacional. En el memorable show del Carnegie, el público presente y hasta los empleados del teatro, no pudieron resistir la contagiosa música dominicana y convirtieron el majestuoso Stern Auditorium Perelman Stage, en una gran pista de baile durante la gala de la bachata y el merengue. “Muchísimas gracias, bendiciones a cada uno. Que mis merengues y bachatas como siempre sea del agrado de la gente”, expresó el artista. Un público totalmente a sus pies, una tremenda orquesta, y un artista dominicano lleno de emociones hicieron un concierto acoplado y una banda de músicos sin desperdicios.",2017-10-09,"El Torito engrandeció el merengue y la bachata en Carnegie Hall de Nueva York","http://ow.ly/oaKb30fLgDJ"
"3","Caracas, (EFE).- Venezuela comenzó este lunes su semana electoral desplegando en toda su geografía el material para las votaciones del próximo domingo así como el personal que trabajará ese día, mientras los candidatos del Gobierno y de la oposición arreciaron su campaña, a la que le restan menos de 100 horas. A la par, el presidente del Parlamento, el opositor Julio Borges, desestimó cualquier posibilidad de que la mesa de diálogo con el Gobierno de Nicolás Maduro sea retomada en los próximos días, contrariando lo dicho ayer por el jefe de Estado y este lunes por el el embajador de Caracas en Santo Domingo, Alí de Jesús Uzcátegui. “Nosotros seguimos esperando que el Gobierno cumpla los compromisos que adquirió para que nosotros podamos tener una certeza como país y como comunidad internacional de que esto no es un ganar tiempo, un quitarse presión, sino un proceso real de buscarle una solución al caos humanitario que vive Venezuela”, dijo Borges a Efe. Por otra parte, la alianza opositora Mesa de la Unidad Democrática (MUD) reiteró a sus simpatizantes que deberán votar únicamente donde se encuentre la cara y el nombre del candidato “unitario”, pues ante la imposibilidad de hacer cambios en las boletas éstas mostrarán a aspirantes opositores que se retiraron en favor de otros. Por ello, el antichavismo ha activado una campaña para enseñar a votar a sus adeptos y evitar los votos nulos que, aseguran, forman parte de una estrategia del Poder Electoral para favorecer a los candidatos de la llamada revolución bolivariana. El jefe del comando de campaña de la MUD, Gerardo Blyde, señaló que contarán con 90.822 testigos en los 13.559 centros electorales del país, y 271.180 voluntarios distribuidos a las afueras de los centros de votación para informar cómo sufragar. La coalición activó una línea telefónica para atender cualquier denuncia sobre el desarrollo de las votaciones y pondrán a la orden de sus votantes a 677 abogados “para que se cumpla la ley y obligar a los que no quieren hacerla cumplir”. Blyde aseguró también que la cifra estimada de participación en las elecciones subió y que ya se ubica entre un 60 % y un 70 %, lo que significa, según dijo, “entender que esto no es una elección más” donde se van a elegir unos gobernadores.   Entretanto, 18 opositores encarcelados en la sede del Servicio de Inteligencia de Caracas pidieron al pueblo venezolano votar “masivamente” y llamaron a expresarse “con rebeldía” contra los candidatos del Gobierno. En una misiva firmada por el exalcalde de San Cristóbal estado Táchira (oeste) Daniel Ceballos, el también destituido alcalde de Iribarren en el estado Lara (oeste), Alfredo Ramos, el dirigente Yon Goicoechea y otros 15 más, piden “salir a la más grande movilización nunca antes vista en Venezuela este 15 de octubre”. Las autoridades venezolanas desplegaron hoy un total de 143.000 funcionarios policiales para garantizar el desarrollo de las elecciones, y pidieron a los ciudadanos acudir al proceso con confianza. “Hemos hecho un conjunto de reuniones de trabajo y de coordinación para que el próximo domingo 15 de octubre sea una operación exitosa y se celebre una gran fiesta electoral”, dijo el ministro de Interior, Néstor Reverol. Por su parte, la presidenta del Consejo Nacional Electoral (CNE), Tibisay Lucena, aseguró que las elecciones serán “transparentes” y “confiables”. El dirigente chavista Diosdado Cabello, que se ha dado la tarea de acompañar a los candidatos oficialistas en actos proselitistas, dijo hoy que en el estado fronterizo de Táchira se debe votar “contra la candidata” del expresidente colombiano Álvaro Uribe, en referencia a la aspirante opositora Laidy Gómez. En un acto transmitido por el canal estatal VTV, Cabello pidió a las decenas de chavistas presentes que apoyen al candidato oficialista que se lanza a la reelección, el militar José Vielma Mora, para “construir una paz verdadera”. Agregó que “la derecha” tiene el sueño de gobernar Táchira para “ponerse de rodillas ante la oligarquía colombiana”, ante el “narcoparamilitarismo de Álvaro Uribe, ante el gobierno asesino de Juan Manuel Santos, ante los enemigos de la patria”. Criticó a los candidatos opositores por lanzar, como promesa electoral, trabajar por el fin del mandato de Nicolás Maduro, y aseguró que si el antichavismo llega a gobernar “institucionalizarían el malandraje (delincuencia)”.",2017-10-09,"Venezuela empieza semana electoral con despliegues y remates de campaña","http://ow.ly/hI1M30fLgyK"
"4","SANTIAGO.- Decenas de jóvenes visionarios de Santiago de los Caballeros a pesar de las persecuciones y amenazas asumieron su rol en tiempos difíciles del proceso democrático en la Republica Dominicana de ahí se forjó el club Luz Progreso. En justo reconocimiento el ministerio de Deportes que preside Danilo Díaz reconoció la entidad enclavada en el populoso sector del ensanche Bermúdez en Santiago, el club Luz y Progreso fue y ha sido  forjador de líderes en la Hidalga de los 30 Caballeros. Todos los reconocimientos son válidos para el club Luz y Progreso que, al pasar de los años y los cambios que se han presentado en su entorno sin dudas, sus luces son como un telón que ha opacado las sombras. El Club Luz y Progreso, fue en los años 70´s, un vivo ejemplo de dignidad, instrumento de cambio en el orden de los valores espirituales y familiares, modelo y gallardía en la sociedad que le tocó representar, como institución cultural, social y deportiva”. La entidad de pronto llegó a ser el lugar donde comenzaron a construirse otras estructuras en respuesta a la política opresora del gobierno de turno que pretendían callar las voces de una juventud con ansias de promover un mejor futuro. El club Luz y Progreso del ensanche Bermúdez, sirvió como plataforma a decenas de jóvenes no solo del sector sino de zonas aledañas quienes se identificaban con el desempeño de la entidad. El Luz y Progreso y sus jóvenes destacaron en las artes, deportes y la cultura, en la actualidad las rebatiñas políticas incluso personales han dejado de lado una de las más grandes tradiciones en cuanto a clubes no solo en Santiago sino del país.",2017-10-09,"Club Luz y Progreso de Santiago es reconocido por Miderec en sus 50 años de fundado","http://ow.ly/RJfQ30fLcpr"
"5","SAN FRANCISCO DE MACORÍS.- Los Gigantes del Cibao trabajaron fuerte en una de las prioridades de la administración, mejorar el sistema de drenaje y evacuación de aguas pluviales del terreno de juego del estadio Julián Javier. El ingeniero Martín Arias, fue el encargado de dirigir la obra y explicó que por orden de la administración del equipo, se trabajó de la mejor manera posible para resolver los problemas del drenaje que provocó la suspensión de algunos juegos durante las temporadas anteriores. “Cambiamos todo el sistema de drenaje y evacuación de aguas pluviales en el terreno, desde la sustitución del material de infiltración de los drenajes y limpieza de los canales de flujo en el área verde, hasta la colocación de un colector principal de 12’’ para evacuar por gravedad las aguas provenientes del terreno” Explicó el Ingeniero   Sobre el área verde El ingeniero Arias también se refirió a la parte del terreno que tiene área verde, asegurando que trabajó junto a la arquitecta Marian Tejada y al equipo del equipo Gigantes del Cibao en esa área para que todo quedara en excelentes condiciones. “Aunque hicimos remociones en las áreas verdes, estas superficies fueron trabajadas, realizándose las reparaciones y reacondicionamientos necesarios por técnicos calificados, con la finalidad de que no se perciban diferencias o alteraciones y así lo logramos gracias a Dios”, agregó. La licenciada Yissel Infante, administradora del equipo Gigantes del Cibao, expresó su satisfacción por la rapidez con la que se trabajó en el terreno del estadio. Los Gigantes del Cibao jugarán su primer partido el sábado 14 de octubre en San Francisco de Macorís Vs Águilas Cibaeñas.",2017-10-09,"Gigantes del Cibao repararon sistema de drenaje del Julián Javier","http://ow.ly/4Z8L30fLbU9"
"6","El evento benéfico será realizado en ‘The Links’ de Casa de Campo LA ROMANA.- La Asociación si fines de lucro ‘ElSerLibreYFeliz’, que preside el licenciado Andrés Vélez Cordero, celebrará el Torneo Internacional de Golf Open 2017 de esa entidad el sábado 18 de noviembre, contando con el apoyo del Programa de las Naciones Unidas para el Desarrollo (PNUD) y el Consejo Nacional de Discapacidad (CONADIS). Vélez Cordero informó que el certamen se desarrollará en el acogedor campo de golf ‘The Links’ del prestigioso complejo turístico Casa de Campo Resort & Villas de La Romana,  a beneficio del proyecto piloto Escuela de Educación Especial Padre Sebastián Cavalotto, coordinado por la fundación que él preside. Explicó que el proyecto consiste en la mejora de la inclusión educativa para niños, niñas y adolescentes con necesidades especiales, con el objetivo de prepararles para que puedan llevar a cabo una vida productiva e independiente, y a su vez crear un ambiente de aceptación y respeto en su entorno. En cuanto al evento, precisó que será dedicado al doctor Abel “Cayo” Gonzáles, y que el director del torneo será el licenciado Joaquín Montero. Vélez Cordero agregó que el torneo tendrá un costo de RD$6,000 por cada golfista participante, y que al mismo están invitados  a jugar caballeros, damas y jóvenes golfistas nacionales e internacionales. Informó que la modalidad de juego será “Stableford” en las Categorías A y B con cupo limitado, por lo cual los interesados beberán  reservar su participación enviando su nombre, apellido, handicap index y número telefónico de contacto a [email protected] Sólo el pago de inscripción garantiza su participación. “Toda empresa interesada en solidarizarse y apoyar esta importante causa puede hacerlo llamando al Tel.: 809-390-4905 y vía el correo electrónico [email protected]”, señaló Vélez Cordero.   Pie: Andrés Vélez Cordero, centro, Betania López Caraballo y Begdy (Fanny) Belén, directora de la Escuela de Educación Especial Padre Sebastián Cavalotto, junto a jóvenes estudiantes.",2017-10-09,"Fundación El Ser Libre y Feliz celebrará torneo Internacional de Golf Open 2017","http://ow.ly/TSOW30fL9Zm"
"7","Los Alcarrizos.-La Dirección Regional Santo Domingo Oeste de la Policía, informó del apresamiento de una mujer a quien supuestamente se le ocupó una gran cantidad de sustancias prohibida. El general José Acosta Castellanos, director de la Policía en esta demarcación, identificó a la detenida como Moraima Sánchez Pérez, alias, Moraima la Coja, quien fue apresada en medio de un operativo encabezado por el subdirector de la Dican, el mayor, Miguel Valenzuela Paulino. Según el director regional oeste de la Policía, los agentes de la Dican, ocuparon en poder de Sánchez Pérez, 115 porciones de un vegetal verde que se presume es marihuana con un peso de 683.6 gramos, una encendedor y dos tijeras. Señala que las autoridades venían dándole seguimiento a las actividades de la detenida  quien fue sorprendida en medio de un gran operativo. Valenzuela Paulino, expresó, que no dará tregua a los vendedores, y  traficantes de estupefaciente en toda la demarcación, es la mística trazada por el director central Antinarcóticos de la Policia Nacional, general, Franklin  Vittini Duran. Con relación a la sustancia ocupada dijo sería enviada al INACIF para su comprobación y luego presentada ante el Ministerio Público.",2017-10-09,"Apresan mujer en Los Alcarrizos con 115 porciones de droga","http://ow.ly/i7FM30fL9DB"
"8","WASHINGTON, EE.UU, (AP).- El presidente Donald Trump ha revelado una larga lista de prioridades migratorias que según él deben de ser incluidas como parte de cualquier paquete legislativo para extender las protecciones a jóvenes inmigrantes que llegaron al país de manera ilegal cuando eran niños. Lo que el presidente está exigiendo al Congreso es: SEGURIDAD FRONTERIZA – Construir un muro en la frontera sur; aumentar la seguridad en la frontera norte.– Facilitar la deportación de menores no acompañados que son detenidos cruzando la frontera. En el 2014 hubo un aumento de menores no acompañados cruzando la frontera mexicoestadounidense. Estos menores venían huyendo de la violencia de países como El Salvador, Guatemala y Honduras. Funcionarios federales entregaron la mayoría de esos menores a familiares en Estados Unidos, con quienes estarán mientras esperan sus audiencias de inmigración. El gobierno argumenta que el actual sistema ha creado un “espectacular factor de incentivo” que anima a la gente a enviar a sus hijos a Estados Unidos. – Reformar el sistema de asilo, imponer requisitos más rigurosos en las solicitudes y crear nuevas sanciones por fraude. – Contratar 370 jueces de inmigración y 1.000 abogados del Servicio de Control de Inmigración y Aduanas adicionales para revisar los más de 600.000 casos de inmigración que están atrasados. – Dificultar la inmigración de pandilleros y otras personas con antecedentes penales. – Aumentar las sanciones para gente que reingresa al país de manera ilegal. – Expandir las deportaciones aceleradas, proceso a través del cual los extranjeros son deportados sin pasar por el usual procedimiento de deportación, como por ejemplo tener una audiencia ante un juez. Bajo las leyes actuales, los inmigrantes que son detenidos dentro de un radio de 160 kilómetros (100 millas) de la frontera y que han estado en el país por menos de 14 días pueden ser deportados de inmediato, sin que se le presenten cargos a través de las cortes de inmigración. INMIGRACIÓN LEGAL– Reformar el sistema de residencia legal de tal manera que favorezca a los trabajadores más capacitados por encima de quienes tienen lazos familiares en Estados Unidos. De acuerdo con el gobierno de Trump, el actual sistema de inmigración “tiene como prioridad a la familia extendida por encima de la migración basada en capacidad laboral, y esto no sirve a los intereses nacionales”. – Crear un sistema de residencia permanente basado en puntos, que da prioridad a los trabajadores más educados y con ofertas de trabajos con altos ingresos. – Limitar las peticiones familiares de residencia permanente a las parejas e hijos menores de edad. – Eliminar la lotería de visas diseñada para beneficiar a inmigrantes de países con índices bajos de inmigración a Estados Unidos. – Limitar el ingreso de refugiados (El presidente tiene el poder de establecer límites para refugiados y ya lo ha reducido a un récord bajo). SEGURIDAD NACIONAL  – Aumentar los castigos contra las “ciudades santuario” que se rehúsan a cooperar y compartir información con autoridades federales de inmigración, como no darles ciertos subsidios federales. – Autorizar e incentivar a los gobiernos locales y estatales para que ayuden a aplicar las leyes federales de inmigración y aprueben sus propias medidas de inmigración. – Contratar 10.000 agentes más para el ICE y 300 fiscales federales más. – Tratar con mano dura a la gente que se queda en el país después de que sus visas expiran. – Requerir que los empleadores usen el sistema E-Verify, que verifica que una persona tiene permitido trabajar legalmente en Estados Unidos. – Ampliar la definición de discriminación laboral ilegal para incluir casos en los que “trabajadores no inmigrantes desplazan a trabajadores estadounidenses”. – Ampliar los motivos de deportación para deportar a quienes pertenezcan a pandillas. – Mejorar la seguridad de las visas.",2017-10-09,"Un vistazo a las exigencias migratorias que Trump ha hecho","http://ow.ly/6PBp30fL9lc"
"9","HOUSTON, EE.UU, LasMayores.com.- José Altuve ya fue nombrado Jugador del Año en Grandes Ligas por Baseball América. El venezolano es fuerte candidato a Jugador Más Valioso de la Liga Americana tras ganar su tercer título de bateo en cuatro años, además de conectar 200 por cuarta campaña consecutiva. El lunes, el segunda base de los Astros agregó otra distinción a la larga lista, cuando fue incluido entre los finalistas para el Premio Hank Aaron, galardón que se le otorga al jugador más destacado del lado ofensivo en cada liga. “Tengo mucha suerte de ser su manager”, dijo el dirigente de los Astros, A.J. Hinch, acerca de Altuve. “Es increíble verlo jugar cada día”. Después de batear .346/.410/.547 (OPS de .957) con 39 dobles, 24 jonrones y 81 empujadas en la temporada regular, Altuve inició la Serie Divisional de la Liga Americana contra los Medias Rojas con ocho hits en sus primeros 11 turnos (.727), con tres bases por bolas (dos intencionales), tres jonrones, cinco anotadas y cuatro empujadas. El joven de 27 años, el mismo número de su uniforme, no para de ganarse los elogios. “Es difícil contestar la misma pregunta sobre lo grande que es, pero continúo reiterando que el muchacho invierte el tiempo y la energía y siempre está preparado”, expresó Hinch. “Le encanta jugar. Toda esa atención es bien merecida, por la calidad de persona que es y la calidad de pelotero que es. “Él representa todo lo bueno y correcto de los Astros. Digo eso todo el tiempo y continuaré diciéndolo. Ustedes pueden copiar y pegar eso en sus artículos”. Del lado contrario, Altuve ha sido un dolor de cabeza para los Medias Rojas. “Es un gran jugador que está teniendo una gran serie”, dijo el piloto de los Medias Rojas, John Farrell. “Hay que tratar de minimizar el daño. Es uno de esos bateadores que va a dar sus hits y espero que sean en situaciones en las que no haya nadie en base, o que sus batazos (mueran) en la parte más profunda del estadio”.",2017-10-09,"José Altuve agrega otra distinción a la lista de los reconocimientos","http://ow.ly/t7Ki30fL8RQ"
"10","NUEVA YORK, EE.UU.- El lunes, por segunda vez en menos de una semana, Luis Severino se trepará a la lomita del Yankee Stadium con la misión de mantener con vida a los Yankees en estos playoffs. El dominicano de 23 años de edad abrirá el Juego 4 de la Serie Divisional de la Liga Americana ante los Indios de Cleveland. Nueva York se encuentra abajo 2-1 en la serie al mejor de cinco juegos tras perder los primeros dos compromisos en Cleveland. El oriundo de Sabana del Mar buscará forzar un quinto partido decisivo en el Progressive Field, que sería el miércoles. El pasado martes, en su debut de postemporada, a Severino lo traicionaron los nervios. El quisqueyano permitió tres carreras y sacó solamente un out en el Juego del Comodín de la Liga Americana ante los Mellizos. Los Yankees remontaron para imponerse por 8-4 y avanzar a la SDLA. No obstante, Severino goza de la confianza de su equipo luego de una temporada regular en la que tuvo foja de 14-6 en 31 aperturas y finalizó en el tercer lugar en la Liga Americana con promedio de carreras limpias de 2.98. Solamente Corey Kluber de los Indios y Chris Sale de los Medias Rojas – los principales candidatos al Premio Cy Young en el Joven Circuito este año – tuvieron una mejor efectividad en el 2017. “Nosotros confiamos en Severino”, dijo el receptor dominicano de los Yankees, Gary Sánchez. “Tiró muy bien en la temporada regular. Una salida mala cualquiera la tiene”. En dos aperturas ante los Indios en la temporada regular del 2017, Severino tuvo foja de 1-1 con efectividad de 2.70, pero cedió cuatro jonrones en 13.1 innings de labor. El derecho abrirá el lunes gracias en gran parte a que a Masahiro Tanaka lanzó siete innings en la victoria de los Yankees por 1-0 en el Juego 3, lo cual evitó que el manager Joe Girardi tuviera lo utilizara como relevista en ese partido. Ahora, le toca a Severino dar la cara. “Significa mucho”, dijo Severino. “Mi última apertura no fue de las mejores, así que tengo la oportunidad de hacer mi trabajo y darle al equipo la oportunidad de ganar”.",2017-10-09,"Luis Severino busca hacer mejor papel en el Juego 4 vs. Indios","http://ow.ly/4TRp30fL8za"
